Date,Open,High,Low,Close,Adj Close,Volume
2022-02-21,6900.000000,6912.549805,6791.000000,6813.450195,6774.560547,424346
2022-02-22,6713.000000,6770.000000,6676.149902,6749.549805,6711.024902,359236
2022-02-23,6780.000000,6866.000000,6735.000000,6780.200195,6741.500488,506540
2022-02-24,6624.899902,6649.149902,6396.200195,6418.450195,6381.815430,610393
2022-02-25,6550.000000,6656.649902,6520.000000,6570.250000,6532.748535,376464
2022-02-28,6538.000000,6602.000000,6440.149902,6567.899902,6530.412109,557289
2022-03-02,6539.000000,6539.000000,6342.000000,6399.350098,6362.824219,686927
2022-03-03,6416.000000,6437.149902,5964.850098,5980.700195,5946.563965,2406110
2022-03-04,5949.750000,6170.000000,5850.799805,6050.299805,6015.766113,1336552
2022-03-07,5929.299805,5929.299805,5684.649902,5698.100098,5665.576660,1280108
2022-03-08,5631.000000,5875.000000,5629.200195,5833.450195,5800.154297,955847
2022-03-09,5890.000000,6058.750000,5821.200195,6017.350098,5983.004395,813790
2022-03-10,6202.000000,6261.200195,6004.549805,6052.549805,6018.003418,967482
2022-03-11,6043.000000,6119.950195,5980.000000,6021.000000,5986.633789,533023
2022-03-14,6050.000000,6067.899902,5956.049805,6035.899902,6001.448730,466938
2022-03-15,6095.850098,6172.000000,5972.049805,6021.250000,5986.882324,819263
2022-03-16,6130.000000,6317.200195,6080.000000,6305.899902,6269.907227,888929
2022-03-17,6380.350098,6469.500000,6340.000000,6373.600098,6337.221191,979987
2022-03-21,6370.000000,6370.000000,6176.049805,6191.250000,6155.912109,531422
2022-03-22,6160.000000,6225.850098,6059.100098,6211.600098,6176.145996,1073804
2022-03-23,6312.500000,6312.500000,6195.049805,6234.000000,6198.417969,664235
2022-03-24,6202.000000,6379.549805,6200.000000,6351.850098,6315.595215,642226
2022-03-25,6385.000000,6390.649902,6284.049805,6312.700195,6276.668945,321023
2022-03-28,6345.000000,6394.950195,6245.049805,6359.950195,6323.649414,325668
2022-03-29,6377.000000,6548.000000,6376.000000,6526.600098,6489.348145,671879
2022-03-30,6542.500000,6668.799805,6542.500000,6642.700195,6604.785156,705385
2022-03-31,6660.000000,6699.000000,6581.000000,6602.299805,6564.615723,399272
2022-04-01,6603.000000,6688.850098,6565.049805,6670.549805,6632.476074,216837
